,name,mean,std,median,min,max
48,Abelardo Luz,0.8047633171081543,0.0,0.8047633171081543,0.8047633171081543,0.8047633171081543
49,Abre Campo,0.6957473158836365,0.0,0.6957473158836365,0.6957473158836365,0.6957473158836365
50,Abreu e Lima,,,,,
51,Abreul?ndia,0.15051843225955963,0.0,0.15051843225955963,0.15051843225955963,0.15051843225955963
52,Acaiaca,,,,,
53,Acajutiba,,,,,
54,Acar?,-0.03615138679742813,0.385733038187027,-0.02599242329597473,-0.5997264385223389,0.5248252153396606
55,Acara?,-1.5088273286819458,0.0,-1.5088273286819458,-1.5088273286819458,-1.5088273286819458
56,Acarap?,,,,,
57,Acari,0.6144677996635437,0.0,0.6144677996635437,0.6144677996635437,0.6144677996635437
58,Acau?,0.48750317096710205,0.0,0.48750317096710205,0.48750317096710205,0.48750317096710205
59,Acegu?,0.6987306475639343,0.021166682243347168,0.6987306475639343,0.6775639653205872,0.7198973298072815
60,Acopiara,-0.39578545093536377,0.060544006526470184,-0.37441617250442505,-0.47827455401420593,-0.3346656262874603
61,Acorizal,0.2926711142063141,0.0,0.2926711142063141,0.2926711142063141,0.2926711142063141
62,Acre?na,-0.07178515195846558,0.19670900702476501,-0.07178515195846558,-0.2684941589832306,0.12492386251688004
63,Acrel?ndia,-0.09611164778470993,0.0320853516459465,-0.09611164778470993,-0.12819699943065643,-0.06402629613876343
64,Adamantina,-0.47904863953590393,0.0,-0.47904863953590393,-0.47904863953590393,-0.47904863953590393
65,Adel?ndia,,,,,
66,Adolfo,,,,,
67,Adrian?polis,-0.4047987461090088,0.13087855279445648,-0.4047987461090088,-0.5356773138046265,-0.2739202082157135
68,Adustina,-1.9377094507217407,0.0,-1.9377094507217407,-1.9377094507217407,-1.9377094507217407
69,Afogados da Ingazeira,,,,,
70,Afonso Bezerra,1.6721128225326538,0.0,1.6721128225326538,1.6721128225326538,1.6721128225326538
71,Afonso Cl?udio,0.7192685008049011,0.011258482933044434,0.7192685008049011,0.7080100178718567,0.7305269837379456
72,Afonso Cunha,-0.45721304416656494,0.0,-0.45721304416656494,-0.45721304416656494,-0.45721304416656494
73,Afr?nio,1.000950813293457,0.011671334505081177,1.000950813293457,0.9892794489860535,1.0126221179962158
74,Afu?,0.4543055593967438,0.10181551426649094,0.5080620646476746,0.2547548711299896,0.594754159450531
75,Agrestina,,,,,
76,Agricol?ndia,,,,,
77,Agrol?ndia,,,,,
78,Agron?mica,-1.023402214050293,0.0,-1.023402214050293,-1.023402214050293,-1.023402214050293
79,Agua?,-1.1898400783538818,0.0,-1.1898400783538818,-1.1898400783538818,-1.1898400783538818
80,Aguanil,,,,,
81,Agudo,-0.689663827419281,1.0416548252105713,-0.689663827419281,-1.731318712234497,0.35199108719825745
82,Agudos,-0.7244904637336731,0.0,-0.7244904637336731,-0.7244904637336731,-0.7244904637336731
83,Agudos do Sul,-0.4251384139060974,0.0,-0.4251384139060974,-0.4251384139060974,-0.4251384139060974
84,Aguiar,0.7657841444015503,0.0,0.7657841444015503,0.7657841444015503,0.7657841444015503
85,Aguiarn?polis,-2.5527775287628174,0.0,-2.5527775287628174,-2.5527775287628174,-2.5527775287628174
86,Aimor?s,0.36225712299346924,0.14682574570178986,0.46191439032554626,0.15466909110546112,0.47018784284591675
87,Aiquara,,,,,
88,Aiuaba,0.8120990991592407,0.09145769476890564,0.8120990991592407,0.7206414341926575,0.9035568237304688
89,Aiuruoca,,,,,
90,Ajuricaba,2.1568143367767334,0.0,2.1568143367767334,2.1568143367767334,2.1568143367767334
91,Al?m Para?ba,-0.2643616497516632,0.0,-0.2643616497516632,-0.2643616497516632,-0.2643616497516632
92,Alagoa,,,,,
93,Alagoa Grande,,,,,
94,Alagoa Nova,,,,,
95,Alagoinha,-0.028141051530838013,0.0,-0.028141051530838013,-0.028141051530838013,-0.028141051530838013
96,Alagoinha do Piau?,,,,,
97,Alagoinhas,1.5543711185455322,0.4625363349914551,1.5543711185455322,1.0918347835540771,2.0169074535369873
98,Alambari,,,,,
99,Albertina,,,,,
100,Alc?ntara,-1.943393588066101,0.0,-1.943393588066101,-1.943393588066101,-1.943393588066101
101,Alc?ntaras,,,,,
102,Alcantil,0.10504475980997086,0.0,0.10504475980997086,0.10504475980997086,0.10504475980997086
103,Alcin?polis,-0.4577060043811798,0.352164626121521,-0.478546142578125,-1.035786747932434,0.02067798562347889
104,Alcoba?a,-0.45470792055130005,0.17958350479602814,-0.45470792055130005,-0.634291410446167,-0.2751244008541107
105,Aldeias Altas,-0.005665849894285202,0.03787757828831673,-0.005665849894285202,-0.04354342818260193,0.032211728394031525
106,Alecrim,,,,,
107,Alegre,0.9511765837669373,0.0,0.9511765837669373,0.9511765837669373,0.9511765837669373
108,Alegrete,0.9927210211753845,0.16818822920322418,0.9967799782752991,0.7113521099090576,1.2858681678771973
109,Alegrete do Piau?,-0.2763969898223877,0.0,-0.2763969898223877,-0.2763969898223877,-0.2763969898223877
110,Alegria,,,,,
111,Alenquer,-0.10477904230356216,0.4734504818916321,0.003002023324370384,-0.9974367618560791,0.8098602294921875
112,Alex?nia,-0.1814950406551361,0.0,-0.1814950406551361,-0.1814950406551361,-0.1814950406551361
113,Alexandria,,,,,
114,Alfenas,-1.109133005142212,0.06549161672592163,-1.109133005142212,-1.1746245622634888,-1.0436413288116455
115,Alfredo Chaves,0.5250270366668701,0.0,0.5250270366668701,0.5250270366668701,0.5250270366668701
116,Alfredo Marcondes,,,,,
117,Alfredo Vasconcelos,,,,,
118,Alfredo Wagner,-2.8824381828308105,0.0,-2.8824381828308105,-2.8824381828308105,-2.8824381828308105
119,Algod?o de Janda?ra,,,,,
120,Alhandra,,,,,
