date,datatype,station,value,fl_miss,fl_cmiss,country,indicator
2010-09-01T00:00:00,TPCP,GHCND:BRM00083827,709,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR000082400,40,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR000082861,1749,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR000352000,140,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR000956000,795,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR002143012,1051,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR00E3-0520,684,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR037041370,223,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR038484280,145,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BR038837530,129,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BRM00082193,737,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BRM00082361,972,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BRM00083208,1918,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BRM00083566,629,0,0,Brazil,TPCP
2010-10-01T00:00:00,TPCP,GHCND:BRM00083827,1533,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR000082400,109,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR000082861,2219,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR000352000,1095,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR000956000,3350,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR002143012,3084,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR00E3-0520,1061,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR037041370,470,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BR038484280,33,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BRM00082193,885,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BRM00082361,1408,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BRM00083208,1370,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BRM00083566,2537,0,0,Brazil,TPCP
2010-11-01T00:00:00,TPCP,GHCND:BRM00083827,343,0,0,Brazil,TPCP
2010-12-01T00:00:00,TPCP,GHCND:BR000082400,336,0,0,Brazil,TPCP
